taxonID,taxonomicStatus,taxonRank,scientificName,scientificNameAuthorship,parentNameUsageID,kingdom,phylum,class,order,family,genus,determined
74RMJ,synonym,species,Opuntia minuscu,(Backeb.) G. D. Rowley,7N9RM,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Airampoa ,True
568GF,synonym,species,Thelocephala aerocarpa,(F. Ritter) F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6S994,accepted,species,Neowerdermannia chilensis ,Backeb.,632K,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Neowerdermannia ,True
3MQ8C,synonym,species,Horridocactus carrizalensis,(F. Ritter) Backeb.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
7M9FQ,synonym,variety,Neoporteria nidus var. multicol,(F. Ritter) A. E. Hoffm.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
7LXFK,synonym,variety,Neoporteria napina var. fankhaus,(F. Ritter) A. E. Hoffm.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
B88F2,synonym,subspecies,Copiapoa cinerea subsp. columna-alba,(F. Ritter) Doweld,5ZZ2V,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
9ZTQ7,synonym,species,Copiapoa macracanth,(Lawr.) Meregalli,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
4QVM4,synonym,species,Pyrrhocactus armatus,F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
B89WX,synonym,variety,Eriosyce crispa var. huascensis,(F. Ritter) Katt.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
38GG8,synonym,species,Echinocactus nigricans,(Linke) D. Dietr. ex K. Schum.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9XX7H,synonym,species,Echinopsis oreopogon,(Speg.) Werderm.,8S8P8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Soehrensia ,True
B2K4D,synonym,form,Neoporteria reichei f. pseudoreichei,(Lembcke & Backeb.) Donald & G. D. Rowley,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6X23C,synonym,species,Pyrrhocactus carrizalensis,F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9Y72M,synonym,species,Opuntia berteroi,(Colla) A. E. Hoffm.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6Q5TY,synonym,species,Leucostele rivierei ,Backeb.,6Q5TX,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Leucostele ,True
7D25X,synonym,species,Trichocereus santaensis,Rauh & Backeb.,9YNMF,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Trichocereus,True
6T3KV,synonym,species,Opuntia kuehnrichian,Werderm. & Backeb.,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
B29SK,synonym,variety,Cactus opuntia var. latifolius ,Risso,69B3,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Opuntia ,True
9XX54,synonym,species,Echinocereus hypogaeus,(F. A. C. Weber ex Regel) F. A. C. Weber ex K. Schum.,62DLY,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Austrocactu,True
4YRZC,synonym,species,Sphaeropuntia sphaerica,(C. F. Först.) Guiggi,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
5W3CT,synonym,species,Arequipiopsis hempeliana,(Gürke) Kreuz. & Buining,69K5,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Oreocereus,True
9ZGZ3,synonym,species,Cereus ovatus,G. Don,5K96,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Maihueniopsis ,True
38GBW,synonym,species,Echinocactus gayanus ,Lem.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
46R2G,ambiguous synonym,species,Neoporteria vallenarensis,(F. Ritter) A. E. Hoffm.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
BP999,synonym,variety,Copiapoa megarhiza var. echinata,(F. Ritter) A. E. Hoffm.,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
46CTN,synonym,species,Neochilenia fus,(Muehlenpf.) Backeb.,3B6W9,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
59LV2,synonym,species,Tunilla erectoclad,(Backeb.) D. R. Hunt & Iliff,7N9RM,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Airampoa ,True
38GLR,synonym,species,Echinocactus taltalensis ,Werderm.,Y4F6,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
38GG6,synonym,species,Echinocactus nidus ,Söhrens,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
TZR5,synonym,species,Chilenia nigricans,(Linke) Backeb.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6H376,synonym,species,Eriosyce laui ,Lüthy,643ZY,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Rimacactus ,True
7NCVV,synonym,unranked,Peruviopuntia ,Guiggi,93LTC,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,,True
6VQPN,synonym,species,Platyopuntia apurimacensis,F. Ritter,69B3,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Opuntia ,True
3CX3N,synonym,species,Euporteria acutissima,(Otto & A. Dietr.) Kreuz. & Buining,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
74RLB,synonym,species,Opuntia ignescens ,Vaupel,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
SXB2,synonym,species,Cereus hendriksenianus ,Backeb.,69K5,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Oreocereus,True
38G7N,synonym,species,Echinocactus acutissimus,Otto & A. Dietr.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
568GY,synonym,species,Thelocephala rip,(Mächler & Helmut Walter) Faúndez & Saldivia,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
55CCY,synonym,species,Tephrocactus russell,(Britton & Rose) Backeb.,5K96,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Maihueniopsis ,True
5ZZ2V,accepted,species,Copiapoa cinerea,(Phil.) Britton & Rose,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,False
9L37G,synonym,subspecies,Copiapoa echinoides subsp. cup,(F. Ritter) M. H. J. van der Meer,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
9YDK2,synonym,species,Pyrrhocactus curvispinus,(Bertero ex Colla) A. Berger,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9Z5VT,synonym,species,Echinocactus clavat,Söhrens ex K. Schum.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
3XJDW,synonym,species,Maihuenia albolanata,F. Ritter,5K95,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Maihuenia,True
3LWYB,synonym,species,Hildmannia ebenacanth,(Monv. ex Labour.) Kreuz. & Buining,3B6W9,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6K4QN,synonym,species,Furiolobivia ducis-pauli,(C. F. Först.) Y. Itô,5TC7J,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Lobivia,True
6SRPX,synonym,species,Opuntia silvestris ,Backeb.,7N9RM,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Airampoa ,True
7D262,synonym,species,Trichocereus puquiensis,Rauh & Backeb.,5THMF,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Trichocereus,True
9Y665,synonym,species,Neoporteria densispina,Y. Itô,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
3B6WR,accepted,species,Eriosyce vallenarensis,(F. Ritter) Katt.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
B2FKH,synonym,variety,Pseudolobivia wilkeae var. carminata ,Backeb.,5TC7J,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Lobivia,True
SXFL,synonym,species,Cereus nigripilis ,Phil.,5TC39,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Leucostele ,True
9YV67,synonym,variety,Cumulopuntia tubercularis var. transiens,F. Ritter,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
5ZZ2P,accepted,species,Copiapoa boliviana,(Pfeiff.) F. Ritter,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
46CTK,synonym,species,Neochilenia esmeraldan,(F. Ritter) Backeb.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9Z44T,synonym,form,Neoporteria subgibbosa f. heteracanth,(Backeb.) Donald & G. D. Rowley,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9Y728,synonym,species,Opuntia ayramp,(Haenke) Mottram,7N9RM,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Airampoa ,True
4FVL,accepted,genus,Eulychnia ,Phil.,93LST,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eulychnia ,False
9XTHD,synonym,species,Cereus montevidensis ,Pfeiff.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6SRLW,synonym,species,Opuntia opunti,(L.) H. Karst.,69B3,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Opuntia ,True
9TNZY,synonym,species,Hildmannia aspillaga,(Söhrens) Kreuz. & Buining,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
5XR58,synonym,species,Chileorebutia aerocarpa,F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
Y4FL,synonym,species,Copiapoa melanohystrix,F. Ritter,5ZZ2V,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
5T8NF,synonym,unranked,Delaetia ,Backeb.,93LST,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,,True
9YQGT,accepted,variety,Copiapoa humilis var. tenuissim,(F. Ritter) G. J. Charles,Y4F6,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
568GM,synonym,species,Thelocephala glabrescens,(F. Ritter) F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
46CBL,synonym,species,Neocardenasia herzogiana ,Backeb.,62H3,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Neoraimondia,True
6T3J7,ambiguous synonym,species,Opuntia caespitosa ,Poepp.,5K95,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Maihuenia,True
9YW4H,synonym,variety,Eriosyce ceratistes var. zorillaensis ,Backeb.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9Y784,ambiguous synonym,species,Opuntia undulata ,Pfeiff.,3YBJ,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cylindropuntia,True
B2CV4,synonym,variety,Neochilenia acrocarpa var. fulv,E. Y. Dawson,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9XWZV,synonym,species,Echinocactus jenischianus ,Pfeiff.,6Q669,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Leucostele ,True
74RMD,synonym,species,Opuntia muellerian,(Backeb.) G. D. Rowley,3XCL,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
6DVRW,synonym,species,Echinocactus coquimbanus,Karw. ex Rümpler,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
46QY4,synonym,species,Neoporteria deherdti,(Backeb.) Donald & G. D. Rowley,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
9XWZQ,ambiguous synonym,species,Echinocactus humilis ,Rümpler,3B6W9,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
5H6MB,synonym,subspecies,Eriosyce napina subsp. duripulp,(F. Ritter) Katt.,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
4QVNP,synonym,species,Pyrrhocactus pamaensis,F. Ritter,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
6C24V,synonym,species,Cumulopuntia echinacea,(F. Ritter) F. Ritter,6BQ56,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Cumulopuntia,True
47CK3,synonym,species,Nichelia nid,(Söhrens) Bullock,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
5GLHF,synonym,subspecies,Copiapoa hypogaea subsp. cobrensis ,Doweld,3TP8,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Copiapoa,True
38KHT,synonym,species,Echinopsis peruviana,(Britton & Rose) H. Friedrich & G. D. Rowley,5THMF,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Trichocereus,True
B2K44,synonym,form,Neoporteria curvispina f. subaequalis,(Backeb.) Donald & G. D. Rowley,62RP4,Plantae,Tracheophyta,Magnoliopsida,Caryophylla,Cactaceae ,Eriosyce ,True
